English,Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Aymara,Azerbaijani,Bambara,Basque,Belarusian,Bengali,Bhojpuri,Bosnian,Bulgarian,Catalan,Cebuano,Chinese (Simplified),Chinese (Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dogri,Esperanto,Estonian,Ewe,Filipino (Tagalog),Finnish,French,Frisian,Galician,Georgian,Greek,Guarani,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hmong,Hungarian,Icelandic,Igbo,Ilocano,Irish,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Konkani,Korean,Krio,Kurdish,Kurdish (Sorani),Kyrgyz,Lao,Latin,Latvian,Lingala,Lithuanian,Luganda,Luxembourgish,Macedonian,Maithili,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Meiteilon (Manipuri),Mizo,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Nyanja (Chichewa),Odia (Oriya),Oromo,Pashto,Persian,Portuguese,Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots Gaelic,Sepedi,Serbian,Sesotho,Shona,Sindhi,Sinhala (Sinhalese),Slovak,Slovenian,Somali,Sundanese,Swahili,Swedish,Tagalog (Filipino),Tajik,Tamil,Tatar,Telugu,Tigrinya,Tsonga,Turkish,Turkmen,Twi (Akan),Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
fifteen,vyftien,pesembedhjete,'asra 'amst,khmsh `shr,tasnhing,pondhr,tunka phisqhani,on bes,tan ni duuru,hamabost,pyatnatstsats',pner,pmdrh,petnaest,petnadeset,quinze,kinse,ShiWu,ShiWu,quindici,petnaest,patnact,femten,fanara,pmdram,dek kvin,viisteist,wuiato,labinlima,viisitoista,quinze,fyftjin,quince,tkhutmet'i,dekapente,papo,pmdr,kenz,goma sha biyar,`umikumalima,hamesh 'esreh,kaum tsib,tizenot,fimmtan,iri na ise,sangapulo ket lima,cuig deag,limalas,hdinaidu,on bes,dbabraam,cumi na gatanu,pmdra,YeolDaSeos,fiftin,panzdeh,pzde,on besh,sibha,quindecim,piecpadsmit,zomi na mitano,penkiolika,kumi na taano,fofzeng,petnaeset,pmdrh,dimy ambin'ny folo,lima belas,ptinnc,hmistax,tekau ma rima,pmdhra,tramna,sawmpanga,arvan tav,chyna,pndhr,femten,khumi ndi asanu,pndr,kudha shan,pndzls,pnzdh,quinze,pmdram,chunka pichqayuq,cincisprezece,pyatnadtsat',sefulu ma le lima,pncds,coig-deug,lesomehlano,petnaest,leshome le metso e mehlano,gumi neshanu,pndrhn,phlovk,patnast,petnajst,shan iyo toban,lima belas,kumi na tano,femton,labinlima,ponzdah,ptinaintu,unbish,pdihenu,`aserte hamushte,khumentlhanu,on bes,on bas,dunnum,p'yatnadtsyat',pndrh,i'wn besh,o'n besh,muoi lam,pymtheg,Shumi elinantlanu,fvftsn,meedogun,eziyishumi nanhlanu
sixteen,sestien,gjashtembedhjete,'asra sdst,sth `shr,tasnvets',soll,tunka suxtani,on alti,tan ni wooro,hamasei,shasnatstsats',sol,solh,sesnaest,shestnadeset,setze,napulog unom,ShiLiu,ShiLiu,sedici,sesnaest,sestnact,seksten,soalha,solam,dek ses,kuusteist,wuiade,labing-anim,kuusitoista,seize,sechtjin,dezaseis,tekvsmet'i,dekaexi,papotei,sol,sez,goma sha shida,`umikumaono,shesh 'esreh,kaum rau,tizenhat,sextan,iri na isii,sangapulo ket innem,se deag,nembelas,hdinaru,on alty,dbabraammuoy.,cumi na gatandatu,sola,YeolYeoSeos,sikstin,sanzdeh,shzde,on alty,sibhok,sedecim,sespadsmit,zomi na motoba,sesiolika,kumi na mukaaga,siechzeng,shesnaeset,solh,enina ambin'ny folo,enam belas,ptinar,sittax,tekau ma ono,sola,tratruk,sawmparuk,arvan zurgaan,chykhreak,sohr,seksten,khumi ndi zisanu ndi chimodzi,sohl,kudha jaha,shprs,shnzdh,dezesseis,solam,chunka suqtayuq,saisprezece,shestnadtsat',sefulu ma le ono,sodsn,sia-deug,lesometshela,shesnaest,leshome le metso e tsheletseng,gumi nenhanhatu,swrhn,dhsy,sestnast,sestnajst,lix iyo toban,genep belas,kumi na sita,sexton,labing-anim,shonzdah,ptinaru,unalty,pdharu,`aserte shdshte,khumetsevu,on alti,on alty,dunsia,shistnadtsyat',swlh,i'wn i'lte,o'n olti,muoi sau,un ar bymtheg,Shumi elinesthandathu,z'khtsn,merindilogun,ishumi nesithupha
seventeen,sewentien,shtatembedhjete,'asra sebat,sb`h `shr,tasnyot',sotr,tunka paqallquni,on yeddi,tan ni wolonfila,hamazazpi,semnatstsats',ster,strh,sedamnaest,sedemnadeset,disset,napulog pito,ShiQi,ShiQi,diciassette,sedamnaest,sedmnact,sytten,sathaara,staram,dek sep,seitseteist,wuiadre,labing pito,seitsemantoista,dix-sept,santjin,dezasete,chvidmet'i,dekaepta,papokoi,sttr,diset,goma sha bakwai,`umikumahiku,sheva' 'esreh,kaum xya,tizenhet,sautjan,iri na asaa,sangapulo ket pito,seacht deag,pitulas,hdinelu,on zheti,dbabraampeir,cumi na birindwi,stra,YeolIlGob,sevintin,hevdeh,hevde,on zheti,sibechad,decem et septem,septinpadsmit,zomi na nsambo,septyniolika,kumi na musanvu,siwwenzeng,sedumnaeset,strh,FAHA-,tujuh belas,ptinelu,sbatax,tekau ma whitu,stra,tratret,sawmpasarih,arvan doloon,chykhunc,strh,sytten,khumi ndi zisanu ndi ziwiri,str,kudha torba,wls,hfdh,dezessete,staram,chunka qanchisniyuq,saptesprezece,semnadtsat',sefulu ma le fitu,sptds,seachd-deug,lesomesupa,sedamnaest,leshome le metso e supileng,gumi nenomwe,strhn,daht,sedemnast,sedemnajst,toddoba iyo toban,tujuh belas,kumi na saba,sjutton,labing pito,habdah,ptinelu,unjide,pdihedu,`aserte shew`ate,khumenkombo,on yedi,on yedi,dunson,simnadtsyat',strh,i'wn yette,o'n etti,muoi bay,dwy ar bymtheg,Shumi elinesixhenxe,zyv'tsn,metadilogun,eziyishumi nesikhombisa
eighteen,agtien,tetembedhjete,'asra smnt,thmnyh `shr,tasnowt',othr,tunka kimsaqallquni,on sekkiz,tan ni segin,hemezortzi,vasemnatstsats',athar,atharh,osamnaest,osemnadeset,divuit,napulog walo,ShiBa,ShiBa,diciottu,osamnaest,osmnact,atten,ashaara,tharam,dek ok,kaheksateist,wuienyi,labing-walo,kahdeksantoista,dix-huit,achttjin,dezaoito,tvramet'i,dekaochto,papoapy,adhar,dizwit,goma sha takwas,`umikumawalu,shemvoneh 'esereh,kaum yim,tizennyolc,atjan,iri na asato,sangapulo ket walo,ocht mbliana deag,wolulas,hdinemtu,on segiz,dbabraambei,cumi n'umunani,athra,YeolYeoDeolb,etin,hejdeh,hezhde,on segiz,sibepd,duodeviginti,astonpadsmit,zomi na mwambe,astuoniolika,kumi na munaana,uechtzeng,osumnaeset,atharh,valo ambin'ny folo,lapan belas,ptinett,tmintax,tekau ma waru,athra,tranipal,sawmpariat,arvan nayman,chyrhc,atharh,atten,khumi ndi zisanu ndi zitatu,athr,kudha saddeet,tls,hjdh,dezoito,atharam,chunka pusaqniyuq,optsprezece,vosemnadtsat',sefulu ma le valu,astds,ochd-deug,lesomeseswai,osamnaest,leshome le metso e robedi,gumi nesere,rrhn,dhat,osemnast,osemnajst,siddeed iyo toban,dalapan belas,kumi na nane,arton,labing-walo,hazhdah,ptinettu,unsigez,pddenimidi,`aserte shomonte,khumenhungu,on sekiz,on sekiz,donwotwe,visimnadtsyat',thrh,i'wn sekkaz,o'n sakkiz,muoi tam,deunaw,Shumi elinesibhozo,'akhtsn,mejidilogun,ishumi nesishiyagalombili
nineteen,negentien,nentembedhjete,'asra zet'eny,ts`h `shr,tasniny,unais,tunka llatunkani,on doqquz,tan ni kononton,hemeretzi,dzevyatnatstsats',unis,unis,devetnaest,devetnadeset,dinou,napulog siyam,ShiJiu,ShiJiu,diciannove,devetnaest,devatenact,nitten,navaara,unni,dek nau,uheksateist,wuiasieke,labing siyam,yhdeksantoista,dix-neuf,njoggentjin,dezanove,tskhramet'i,dekaennea,paporundy,ognis,diznef,goma sha tara,`umikumaiwa,tesha' 'esreh,kaum cuaj,tizenkilenc,nitjan,iri na itoolu,sangapulo ket siam,naoi deag,sangalas,httombttu,on toghyz,dbabraambuon,cumi n'icyenda,ekonis,YeolAHob,nayntin,nozdeh,nozde,on toguz,sibekoa,undeviginti,devinpadsmit,zomi na libwa,devyniolika,kumi na mwenda,nonzeng,devetnaeset,unis,sivy ambin'ny folo,sembilan belas,pttompt,dsatax,tekau ma iwa,ekonis,tramapl,sawmpakua,arvan eson,chykiu,unnis,nitten,khumi ndi zisanu ndi zinayi,ete nbims,kudha sagal,nwls,nwzdh,dezenove,unhi,chunka isqunniyuq,nouasprezece,devyatnadtsat',sefulu ma le iva,ekonvimsti,naoi-deug,lesomesenyane,devetnaest,leshome le metso e robong,gumi nepfumbamwe,nwyhh,dhnvy,devatnast,devetnajst,sagaal iyo toban,salapan belas,kumi na tisa,nitton,labing siyam,nuzdah,pttonptu,unsigez,pmtommidi,`aserte tsh`ate,khumenkaye,on dokuz,on dokuz,dunkron,dev'yatnadtsyat',nys,i'wn twqquz,o'n to'qqiz,muoi chin,pedwar ar bymtheg,Shumi elinethoba,nyyntsn,mokandinlogun,ishumi nesishiyagalolunye
twenty,twintig,njezet,haya,`shrwn,k'san,bis,pa tunka,iyirmi,mugan,hogei,dvatstsats',bis,bis,dvadeset,dvadeset,vint,baynte,ErShi,ErShi,venti,dvadeset,dvacet,tyve,vihi,bih,dudek,kakskummend,blaeve,dalawampu,kaksikymmenta,vingt,tweintich,vinte,otsi,eikosi,mokoipa,vis,ven,ashirin,`iwakalua,'eseriym,nees nkaum,husz,tuttugu,iri abuo,bente,fiche,rong puluh,ippttu,zhiyrma,mphai,makumyabiri,vis,SeuMul,twenti,bist,byst,zhyyyrma,xav,viginti,divdesmit,ntuku mibale,dvidesimt,amakumi abiri,zwanzeg,dvaeset,bis,FAHA,dua puluh,irupt,ghoxrin,rua tekau,vis,kun,sawmhnih,khorin,nhcchy,bis,tyve,makumi awiri,kod'ie,diigdama,shl,byst,vinte,vih,iskay chunka,douazeci,dvadtsat',lua sefulu,vimsti,fichead,masomepedi,dvadeset,mashome a mabeli,makumi maviri,wyhh,vissk,dvadsat,dvajset,labaatan,dua puluh,ishirini,tjugo,dalawampu,bist,iruptu,egerme,irvai,`isra,makumembirhi,yirmi,yigrimi,aduonu,dvadtsyat',bys,yagarme,yigirma,hai muoi,ugain,Amashumi amabini,tsvv'antsyk,ogun,amashumi amabili
twenty-one,een-en-twintig,njezet e nje,haya 'and,whd w`shrwn,k'sanmek,ekais,pa tunka mayani,iyirmi bir,mugan ni kelen,hogeita bat,dvatstsats' adzin,ekus,ekis,dvadeset i jedan,dvadeset i edno,vint-i-un,baynte uno,ErShiYi,21,vintunu,dvadeset jedan,dvacet jedna,enogtyve,ekaavees,ikki,dudek unu,kakskummend uks,blaeve-vo-deke,dalawampu't isa,kaksikymmentayksi,vingt et un,ienentweintich,vinte e un,otsdaerti,eikosi ena,mokoipapetei,ekvis,ven-yonn,ashirin da daya,iwakaluakumakahi,'srym v'ht,nees nkaum ib,huszonegy,tuttugu og einn,iri abuo na otu,bente uno,fiche haon,selikur,ippttomdu,zhiyrma bir,mphaimuoy.,makumyabiri na rimwe,ekvis,SeuMulHaNa,twenti-wan,bist u yek,byst w yek,zhyyyrma bir,xavhnung,viginti unus,divdesmit viens,ntuku mibale na moko,dvidesimt vienas,abiri mu emu,eenanzwanzeg,dvaeset i eden,ikkis,iraika amby roapolo,dua puluh satu,irupttiyeann,wiehed u ghoxrin,rua tekau ma tahi,ekvis,kunmathoi,sawmhnih pakhat,khorin neg,nhcchytc,ikkis,tjueen,makumi awiri ndi mphambu imodzi,ekbims,digdamii tokko,ywwysht,byst w yk,vinte e um,i'ki,iskay chunka hukniyuq,douazeci si unu,dvadtsat' odin,luasefulutasi,ekovimsti,fichead 's a h-aon,masomepedi-tee,dvadeset i jedan,mashome a mabeli a motso o le mong,makumi maviri nerimwe,ykwyhh,visi ekyi,dvadsatjeden,enaindvajset,kow iyo labaatanaad,dua puluh hiji,ishirini na moja,tjugoen,dalawampu't isa,bistu yak,iruptti onru,egerme ber,irvai okti,`isran haden,makumbembirhi-n'we,yirmi bir,yigrimi bir,aduonu baako,dvadtsyat' odin,kys,yagarme bar,yigirma bir,hai muoi mot,un ar hugain,amashumi amabini ananye,'yyn 'vn tsvv'ntsyk,mokanlelogun,amashumi amabili nanye
twenty-two,twee-en-twintig,njezet e dy,haya hulet,thnn w`shrwn,k'sanerkow,bais,pa tunka payani,iyirmi iki,mugan ni fila,hogeita bi,dvatstsats' dva,bais,bais ke ba,dvadeset dva,dvadeset i dve,vint-i-dos,kawhaan ug duha,ErShiEr,22,vintidui,dvadeset i dvije,dvacet dva,toogtyve,dhevihi eve,bais,dudek du,kakskummend kaks,blaeve vo eve,dalawampu't dalawa,kaksikymmentakaksi,vingt-deux,twaentweintich,vinte e dous,otsdaori,eikosi dyo,veintidos,bavis,vennde,ashirin da biyu,iwakaluakumalua,'srym vstyym,nees nkaum ob,huszonketto,tuttugu og tveir,iri abuo na abuo,duapulo ket dua,fiche a do,rolikur,ipptterdu,zhiyrma eki,mphaipeir,makumyabiri na kabiri,bavis,SeuMulDul,twenti tu,bist u du,byst w dww,zhyyyrma eki,xavsng,viginti duo,divdesmit divi,ntuku mibale na mibale,dvidesimt dveji,abiri mu babiri,zweeananzwanzeg,dvaeset i dva,bais,roa amby roampolo,dua puluh dua,irupttirnt,tnejn u ghoxrin,rua tekau ma rua,bavis,tranipal.,sawmhnih leh pahnih a ni,khorin khoer,nhcchynhc,bais,tjueto,makumi awiri ndimphambu ziwiri,baisi,digdamii lama,dwh wysht,byst w dw,vinte e dois,bai,iskay chunka iskayniyuq,douazeci si doi,dvadtsat' dva,luasefululua,dvavimstih,fichead 's a dha,masomepedi-pedi,dvadeset dva,mashome a mabeli le metso e 'meli,makumi maviri nemaviri,bi'ys,visi dekyi,dvadsatdva,dvaindvajset,laba iyo labaatan,duapuluh dua,ishirini na mbili,tjugotva,dalawampu't dalawa,bistu du,iruptti irntu,egerme ike,irvai remdu,`sran klten 'yu.,makume mbirhi mbirhi,yirmi iki,yigrimi iki,aduonu mmienu,dvadtsyat' dva,bi'ys,yagarme i'akka,yigirma ikki,hai muoi hai,dau ar hugain,amashumi anambini,tsvey 'vn tsv'ntsyk,meji-le-logun,amashumi amabili nambili
twenty-three,drie-en-twintig,njezet e tre,haya sost,thlthh w`shrwn,k'sanerek',tetris,pa tunka kimsani,iyirmi uc,mugan ni saba,hogeita hiru,dvatstsats' try,teis,teis ke ba,dvadeset tri,dvadeset i tri,vint-i-tres,baynte tres,ErShiSan,23,vinti tre,dvadeset i tri,dvacet tri,treogtyve,thirees thin meehunneve,teis teis,dudek tri,kakskummend kolm,blaeve vo eto,dalawampu't tatlo,kaksikymmentakolme,vingt-trois,trijeentweintich,vinte e tres,otsdasami,eikosi tria,veintitres,trevis,venntwa,ashirin da uku,iwakaluakumakolu,'srym vslvs,nees nkaum peb,huszonharom,tuttugu og thrir,iri abuo na ato,duapulo ket tallo,fiche a tri,telulikur,ippttmuru,zhiyrma ush,mphaibei,makumyabiri na gatatu,tevis vrsam jalim,SeuMulSes,twenti tri,bist u se,byst w se,zhyyyrma uch,xavsam,viginti tres,divdesmit tris,ntuku mibale na misato,dvidesimt trys,abiri mu ssatu,draiananzwanzeg,dvaeset i tri,teis,telo amby roapolo,dua puluh tiga,iruptti munn,tlieta u ghoxrin,rua tekau ma toru,tevis,tranipal.,sawmhnih leh pathum a ni,khorin gurav,nhcchysum,teis,tjuetre,makumi awiri ndi mphambu zitatu,teisi,digdamii sadii,dry wysht,byst w sh,vinte e tres,tei,iskay chunka kimsayuq,douazeci si trei,dvadtsat' tri,luasefulutolu,tryovimstih,fichead 's a tri,masomepedi-tharo,dvadeset tri,mashome a mabeli a metso e meraro,makumi maviri nematatu,tywyhh,visi tunyi,dvadsattri,triindvajset,saddex iyo labaatan,dua puluh tilu,ishirini na tatu,tjugotre,dalawampu't tatlo,bistu se,irupttu munru,egerme och,irvai mudu,`sran selesten 'yu.,makume mbirhi nharhu,yirmi uc,yigrimi uc,aduonu abiesa,dvadtsyat' tri,ti'ys,yagarme i'uch,yigirma uch,hai muoi ba,tri ar hugain,amashumi amabini anantathu,dryy 'vn tsvv'ntsyg,meta-le-logun,amashumi amabili nantathu
twenty-four,vier-en-twintig,njezet e kater,haya 'arat,'rb`h w`shrwn,k'sanch'ors,caubis,pa tunka pusini,iyirmi dord,mugan ni naani,hogeita lau,dvatstsats' chatyry,cbbis,caubis go ke ba,dvadeset cetiri,dvadeset i chetiri,vint-i-quatre,baynte kwatro,ErShiSi,24,vintiquattru,dvadeset i cetiri,dvacet ctyri,fireogtyve,hatharu vihi meehekeve,caubis,dudek kvar,kakskummend neli,blaeve vo ene,dalawampu't apat,kaksikymmentanelja,vingt-quatre,fjouwerentweintich,vinte e catro,otsdaotkhi,eikosi tesseris,veinticuatro,covis,vennkat,ashirin da hudu,iwakaluakumaha,'srym v'rv',nees nkaum plaub,huszonnegy,tuttugu og fjogur,iri abuo na ano,duapulo ket uppat,fiche ceathair,patlikur,ipptnalku,zhiyrma tort,mphaibuon,makumyabiri na bane,covis vrsam jalim,SeuMulNes,twenti-fo,bist u car,byst w chwr,zhyyyrma tort,xavsi,viginti quattuor,divdesmit cetri,ntuku mibale na minei,dvidesimt keturi,amakumi abiri mu nnya,veieranzwanzeg,dvaeset i chetiri,caubis,efatra amby roapolo,dua puluh empat,irupttinal,erbgha u ghoxrin,rua tekau ma wha,covis,tranipal sure.,sawmhnih leh pali a ni,khorin dorov,nhcchyle,caubis,tjuefire,makumi awiri ndi mphambu zinayi,cbis cari,digdamii afur,tslwrwysht,byst w chhr,vinte e quatro,cauvi,iskay chunka tawayuq,douazecisipatru,dvadtsat' chetyre,luasefulufa,cturvimstih,fichead 's a ceithir,masomepedi-nne,dvadeset chetiri,mashome a mabeli le metso e mene,makumi maviri nemana,chwwyhh,visi htryi,dvadsatstyri,stiriindvajset,afar iyo labaatan,dua puluh opat,ishirini na nne,tjugofyra,dalawampu't apat,bistu chor,irupttu nanku,egerme durt,irvai nalugu,`sran 'arba`ten 'yu.,makume mbirhi mune,yirmi dort,yigrimi dort,aduonu anan,dvadtsyat' chotiri,chwbys,yagarme tot,yigirma to'rt,hai muoi bon,pedwar ar hugain,amashumi amabini anesine,fyr 'vn tsvv'ntsyk,merin-le-logun,amashumi amabili nane
twenty-five,vyf-en-twintig,njezet e pese,haya 'amst,khmsh w`shrwn,k'sanhing,pmcis,pa tunka phisqhani,iyirmi bes,mugan ni duuru,hogeita bost,dvatstsats' pyats',pmcis,pccis ke ba,dvadeset pet,dvadeset i pet,vint-i-cinc,baynte singko,ErShiWu,ErShiWu,vinticinque,dvadeset i pet,dvacet pet,femogtyve,fansavees eve,pccis di,dudek kvin,kakskummend viis,blaeve vo ato,dalawampu't lima,kaksikymmentaviisi,vingt-cinq,fiifentweintich,vinte e cinco,otsdakhuti,eikosi pente,veinticinco,pcis,vennsenk,ashirin da biyar,iwakaluakumalima,'srym vhms,nees nkaum tsib,huszonot,tuttugu og fimm,iri abuo na ise,duapulo ket lima,fiche a cuig,likur limo,ippttaidu,zhiyrma bes,mphaibraam,makumyabiri na gatanu,pmcvis vrsam jalim,SeuMulDaSeos,twenti fayv,bist u penc,byst w penj,zhyyyrma besh,xavha,viginti quinque,divdesmit pieci,ntuku mibale na mitano,dvidesimt penkeri,amakumi abiri mu ttaano,fennefanzwanzeg,dvaeset i pet,pccis,dimy amby roapolo,dua puluh lima,irupttiync,hamsa u ghoxrin,rua tekau ma rima,pmcvis,tranipal sure.,sawmhnih leh panga a ni,khorin tav,nhcchyna,pccis,tjuefem,makumi awiri ndi mphambu zisanu,pcis,digdamii shan,pndzh wysht,byst w pnj,vinte e cinco,p'ci,iskay chunka pichqayuq,douazeci si cinci,dvadtsat' pyat',luasefululima,pncvimstih,fichead 's a coig,masomepedi-hlano,dvadeset pet,mashome a mabeli a metso e mehlano,makumi maviri neshanu,pnjwyhh,visi phyi,dvadsatpat,petindvajset,shan iyo labaatan,dua puluh lima,ishirini na tano,tjugofem,dalawampu't lima,bistu panj,irupttaintu,egerme bish,irvai aidu,`sran hamushten 'yu.,makume mbirhi ntlhanu,yirmi bes,yigrimi bas,aduonu anum,dvadtsyat' p'yat',pchys,yagarme besh,yigirma besh,hai muoi lam,pump ar hugain,amashumi amabini anesihlanu,fynf 'vn tsvv'ntsyk,arundinlogbon,amashumi amabili nanhlanu
twenty-six,ses-en-twintig,njezet e gjashte,haya sdst,sth w`shrwn,k'sanvets',chy'kuri,pa tunka suxtani,iyirmi alti,mugan ni wooro,hogeita sei,dvatstsats' shests',chabbis,chbbis ke ba,dvadeset sest,dvadeset i shest,vint-i-sis,baynte sais,ErShiLiu,ErShiLiu,vintisi,dvadeset i sest,dvacet sest,seksogtyve,ha vihi eve,chbbis,dudek ses,kakskummend kuus,blaeve vo ade,dalawampu't anim,kaksikymmentakuusi,vingt-six,seisentweintich,vinte e seis,otsdaekvsi,eikosi exi,veintiseis,chvvis,vennsis,ashirin da shida,iwakaluakumaono,'srym vss,nees nkaum rau,huszonhat,tuttugu og sex,iri abuo na isii,duapulo ket innem,fiche a se,enem likur,ippttaru,zhiyrma alty,mphaibraammuoy.,makumyabiri na gatandatu,chvis vrsam jalim,SeuMulYeoSeos,twenti siks,bist u ses,byst w shesh,zhyyyrma alty,xavhok,viginti sex,divdesmit sesi,ntuku mibale na motoba,dvidesimt seseri,abiri mu mukaaga,sechsanzwanzeg,dvaeset i shest,chbbis,Enina amby roapolo,dua puluh enam,irupttiyar,sitta u ghoxrin,rua tekau ma ono,svvis,tranipal sure.,sawmhnih leh paruk a ni,khorin zurgaa,nhcchykhreak,chbbis,tjueseks,makumi awiri ndi zisanu ndi chimodzi,sathie,digdamii ja'a,shprs,byst w shsh,vinte e seis,ch'bi,iskay chunka suqtayuq,douazeci si sase,dvadtsat' shest',luasefuluono,sdvimstih,fichead 's a sia,masomepedi-tshela,dvadeset shest,mashome a mabeli a metso e tseletseng,makumi maviri nenhanhatu,chhyn,visihy,dvadsatsest,sestindvajset,lix iyo labaatan,dua puluh genep,ishirini na sita,tjugosex,dalawampu't anim,bistu shash,iruptti aru,egerme alty,irvai aru,`sran shdushten,makume mbirhi nhungu,yirmi alti,yigrimi alty,aduonu nsia,dvadtsyat' shist',chhbys,yagarme i'lte,yigirma olti,hai muoi sau,chwech ar hugain,amashumi amabi anentandathu,z'ks 'vn tsvv'ntsyk,merindinlogbon,amashumi amabili nesithupha
twenty-seven,sewe-en-twintig,njezet e shtate,haya sebat,sb`h w`shrwn,k'sanyot',satais,pa tunka paqallquni,iyirmi yeddi,mugan ni wolonwula,hogeita zazpi,dvatstsats' sem,satas,sttais ke ba,dvadeset sedam,dvadeset i sedem,vint-i-set,kaluhaan ug pito,ErShiQi,ErShiQi,vintisette,dvadeset i sedam,dvacet sedm,syvogtyve,hathdhiha hath meehekeve,sttais,dudek sep,kakskummend seitse,blaeve vo adre,dalawampu't pito,kaksikymmentaseitseman,vingt-sept,sanentweintich,vinte e sete,otsdashvidi,eikosi epta,veintisiete,sttavis,vennset,ashirin da bakwai,iwakaluakumahiku,'srym vsv',nees nkaum xya,huszonhet,tuttugu og sjo,iri abuo na asaa,duapulo ket pito,fiche a seacht,pitulikur,ippttelu,zhiyrma zheti,mphaibraampeir,makumyabiri na karindwi,sttavis vrsam jalim,SeuMulIlGob,twenti sevin,bist u heft,byst w hewt,zhyyyrma zheti,xavechad,viginti septem,divdesmit septini,ntuku mibale na nsambo,dvidesimt septyneri,abiri mu musanvu,siwenanzwanzeg,dvaeset i sedum,sttais,fito amby roapolo,dua puluh tujuh,irupttiyel,sebgha u ghoxrin,rua tekau ma whitu,sttavis,tranipal sure.,sawmhnih leh pasarih a ni,khorin doloo,nhcchykhunc,sttais,tjuesju,makumi awiri mphambu zisanu ndi ziwiri,sturi,digdamii torba,wh wysht,byst w hft,vinte e sete,stai,iskay chunka qanchisniyuq,douazeci si sapte,dvadtsat' sem',luafulu ma le fitu,sptvimstih,fichead 's a seachd,masomepedi-supa,dvadeset sedam,mashome a mabeli a metso e supileng,makumi maviri nenomwe,wyhh,visi htyi,dvadsatsedem,sedemindvajset,toddoba iyo labaatan,dua puluh tujuh,ishirini na saba,tjugosju,dalawampu't pito,bistu haft,iruptti elu,egerme jide,irvai edu,`sran shew`aten,makume mbirhi nkombo,yirmi yedi,yigrimi yedi,aduonu nson,dvadtsyat' sim,sti'ys,yagarme yette,yigirma yetti,hai muoi bay,dau ddeg saith,amashumi amabini anesixhengxe,zyvn 'vn tsv'ntsyk,metadinlogbon,amashumi amabili neskhombisa
twenty-eight,agt en twintig,njezet e tete,haya smnt,thmnyh w`shrwn,k'sanowt',athais,pa tunka llatunkani,iyirmi sekkiz,mugan ni seegin,hogeita zortzi,dvatstsats' vosem,atas,atthais ke ba,dvadeset osam,dvadeset i osem,vint-i-vuit,baynte otso,ErShiBa,ErShiBa,vintottu,dvadeset i osam,dvacet osm,otteogtyve,ashaavees eve,atthais,dudek ok,kakskummend kaheksa,blaeve vo enyi,dalawampu't walo,kaksikymmentakahdeksan,vingt-huit,achtentweintich,vinte e oito,otsdarva,eikosi okto,veintiocho,aththavis,vennwit,ashirin da takwas,iwakaluakumawalu,'srym vsmvnh,nees nkaum yim,huszonnyolc,tuttugu og atta,iri abuo na asato,duapulo ket walo,fiche a hocht,wolung puluh wolu,ippttemtu,zhiyrma segiz,mphaibraambei,makumyabiri n'umunani,aththavis vrsam jalim,SeuMulYeoDeolb,twenti-eit,bist u hest,byst w hesht,zhyyyrma segiz,xavepd,viginti octo,divdesmit astoni,ntuku mibale na mwambe,dvidesimt astuoni,abiri mu munaana,aachtanzwanzeg,dvaeset i osum,atthais,valo amby roapolo,dua puluh lapan,irupttiyett,tmienja u ghoxrin,rua tekau ma waru,aththavis,tranipal sure.,sawmhnih leh pariat a ni,khorin naym,nhcchyrhc,aththais,tjueatte,makumi awiri mphambu eyiti,atheis,digdamii saddeet,tls,byst w hsht,vinte e oito,athai,iskay chunka pusaqniyuq,douazeci si opt,dvadtsat' vosem',luasefulu-valu,astavimstih,fichead 's a h-ochd,masomepedi-seswai,dvadeset osam,mashome a mabeli a metso e robeli,makumi maviri nemasere,thwyhh,visi at,dvadsatosem,osemindvajset,siddeed iyo labaatan,dua puluh dalapan,ishirini na nane,tjugoatta,dalawampu't walo,bistu hasht,irupttettu,egerme sigez,irvai enimidi,`sran shemonten `amet,makume mbirhi nhungu,yirmi sekiz,yigrimi sekiz,aduonu awotwe,dvadtsyat' visim,thi'ys,yagarme sekkaz,yigirma sakkiz,hai muoi tam,dau ddeg wyth,amashumi amabini anesibhozo,'kht 'vn tsvv'ntsyg,mejidinlogbon,amashumi amabili nesishiyagalombili
